,file,class,method,constructor,line,cbo,cboModified,fanin,wmc,rfc,loc,hasJavaDoc
35,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\BoardMemberService.java,nl.tudelft.sem.template.hoa.services.BoardMemberService,getAllBoardMembers/0,False,33,1,0,0,1,1,3,True
36,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\BoardMemberService.java,nl.tudelft.sem.template.hoa.services.BoardMemberService,getAllBoardMembersOfAnHoa/1[int],False,24,4,2,0,1,2,4,True
37,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\BoardMemberService.java,nl.tudelft.sem.template.hoa.services.BoardMemberService,leaveBoard/1[int],False,45,1,1,0,1,1,3,True
38,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\BoardMemberService.java,nl.tudelft.sem.template.hoa.services.BoardMemberService,getYearsOnBoard/1[int],False,54,1,1,0,1,2,3,True
39,D:\University\Year 2\cse2115\SEM18b\.\voting-microservice\src\main\java\nl\tudelft\sem\template\voting\domain\VotingException.java,nl.tudelft.sem.template.voting.domain.VotingException,VotingException/1[java.lang.String],True,6,0,2,2,1,0,3,False
40,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\Password.java,nl.tudelft.sem.template.authentication.domain.user.Password,Password/1[java.lang.String],True,18,0,8,8,3,1,6,True
41,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\user\Password.java,nl.tudelft.sem.template.authentication.domain.user.Password,toString/0,False,27,0,4,4,1,0,3,False
42,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,"createNotification/2[nl.tudelft.sem.template.commons.entities.notification.Event,java.util.List<java.lang.String>]",False,23,2,6,5,1,1,5,False
43,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,"NotificationService/2[nl.tudelft.sem.template.authentication.domain.notification.NotificationRepository,nl.tudelft.sem.template.authentication.domain.user.RegistrationService]",True,18,2,1,1,1,0,4,False
44,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,updateNotification/1[nl.tudelft.sem.template.authentication.domain.notification.Notification],False,34,1,2,2,1,1,4,False
45,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,findById/1[int],False,43,2,3,2,1,1,3,False
46,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,deleteNotification/1[nl.tudelft.sem.template.authentication.domain.notification.Notification],False,29,1,1,1,1,1,4,False
47,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,find/1[nl.tudelft.sem.template.authentication.domain.user.Username],False,47,3,3,2,1,1,3,False
48,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\main\java\nl\tudelft\sem\template\authentication\domain\notification\NotificationService.java,nl.tudelft.sem.template.authentication.domain.notification.NotificationService,getAll/0,False,39,2,3,2,1,1,3,False
49,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\events\ActivityDescriptionWasChangedEvent.java,nl.tudelft.sem.template.hoa.events.ActivityDescriptionWasChangedEvent,getActivity/0,False,15,1,0,0,1,0,3,False
50,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\events\ActivityDescriptionWasChangedEvent.java,nl.tudelft.sem.template.hoa.events.ActivityDescriptionWasChangedEvent,ActivityDescriptionWasChangedEvent/1[nl.tudelft.sem.template.hoa.entitites.Activity],True,11,1,0,0,1,0,3,False
51,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\test\java\nl\tudelft\sem\template\authentication\integration\utils\JsonUtil.java,nl.tudelft.sem.template.authentication.integration.utils.JsonUtil,"deserialize/2[java.lang.String,java.lang.Class<T>]",False,30,2,0,0,1,1,4,True
52,D:\University\Year 2\cse2115\SEM18b\.\authentication-microservice\src\test\java\nl\tudelft\sem\template\authentication\integration\utils\JsonUtil.java,nl.tudelft.sem.template.authentication.integration.utils.JsonUtil,serialize/1[java.lang.Object],False,17,1,5,5,1,1,4,True
53,D:\University\Year 2\cse2115\SEM18b\.\example-microservice\src\test\java\nl\tudelft\sem\template\example\profiles\MockTokenVerifierProfile.java,nl.tudelft.sem.template.example.profiles.MockTokenVerifierProfile,getMockTokenVerifier/0,False,32,3,0,0,1,1,3,True
54,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,startRequirementVote/1[int],False,81,4,4,2,1,4,6,True
55,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,startElectionVote/1[int],False,67,4,4,2,1,5,9,True
56,D:\University\Year 2\cse2115\SEM18b\.\hoa-microservice\src\main\java\nl\tudelft\sem\template\hoa\services\VoteService.java,nl.tudelft.sem.template.hoa.services.VoteService,"VoteService/4[nl.tudelft.sem.template.hoa.repositories.ResultsRepository,nl.tudelft.sem.template.hoa.repositories.HoaRepository,nl.tudelft.sem.template.hoa.repositories.UserRepository,nl.tudelft.sem.template.hoa.repositories.BoardMemberRepository]",True,35,4,4,4,1,0,6,False
